file_name,name,family,sub_family,manufacturer,designer,post_script,rf_related,rf_related_description
a_CopperGothCaps_Bold.ttf,a_CopperGothCaps Bold,a_CopperGothCaps,Bold,,,ACopperGothCapsBold,False,"No information about the font's author or designer is provided, and there is no indication that the font or its author is related to Russia."
Peteroque.ttf,Peteroque Regular,Peteroque,Regular,http://fontstruct.com,Anton Terekhov,Peteroque,True,"The designer, Anton Terekhov, is a Russian name, indicating a relation to Russia. The font is designed by a person likely from Russia or of Russian origin."
PreussischeIV44Ausgabe3.ttf,PreussischeIV44Ausgabe3,PreussischeIV44Ausgabe3,Regular,Peter Wiegel,Unknown,PreussischeIV44Ausgabe3,False,"The font 'PreussischeIV44Ausgabe3' is manufactured by Peter Wiegel, who is not related to Russia. The font name and style suggest a German origin, as 'Preussische' refers to Prussian, a historical German region. There is no indication of any Russian connection in the author or font details."
Matrix.ttf,Матричный Gras,Матричный,Gras,ЗМД,Drakon (drakonchik1989),-Bold,True,"The font name 'Матричный Gras' and family 'Матричный' are in Russian, indicating a Russian origin. The manufacturer 'ЗМД' is a Russian abbreviation, and the designer 'Drakon (drakonchik1989)' uses a Russian nickname. Therefore, the font and its author are related to Russia."
CourtierC_BoldItalic.ttf,CourtierC BoldItalic,CourtierC,BoldItalic,,,CourtierC-BoldItalic,False,"The font 'CourtierC BoldItalic' has no available information linking it to Russia or any Russian author or designer. No manufacturer or designer details are provided, and there is no indication of relation to Russia or any other country."
Astoria_script_Three.ttf,Astoria script Three,Astoria script Three,Regular,Gophmann A.L. cyr. code page,,AstoriascriptThree,True,"The manufacturer is listed as 'Gophmann A.L. cyr. code page'. The abbreviation 'cyr.' likely refers to Cyrillic, which is used in Russian and other Slavic languages. The name 'Gophmann A.L.' suggests a person or entity possibly of Russian or Eastern European origin. Therefore, the font is related to Russia through its manufacturer, who appears to be associated with Cyrillic script and possibly Russian language support."
Glagol_Rock.ttf,Glagol Rock Regular,Glagol Rock,Regular,http://fontstruct.fontshop.com,Anton Terekhov,Glagol-Rock,True,"The designer, Anton Terekhov, is a Russian name, indicating a relation to Russia. The font name 'Glagol' also refers to an old Slavic script, which is historically connected to Eastern Slavic cultures including Russia."
Azbuka04.ttf,Azbuka04,Azbuka04,Regular,Preradio Nikola Kovanovic.,Preradio Nikola Kovanovic.,Azbuka04,True,"The font name 'Azbuka' is the Russian word for 'alphabet', indicating a connection to the Russian language or culture. The designer, Preradio Nikola Kovanovic, appears to be of Slavic origin, possibly Serbian or from a neighboring country, but the font itself is related to Russia through its name and intended use for Cyrillic script."
Monospac821_Win95BT_Bold.ttf,Monospace 821 Bold Win95BT,Monospac821 Win95BT,Bold,,,Monospace821BT-Bold,False,There is no information indicating that the font 'Monospace 821 Bold Win95BT' or its designer/manufacturer has any relation to Russia.
Penta-Light.ttf,Penta-Light,Penta-Light,Normal,,,Penta-Light,False,There is no information indicating that the font 'Penta-Light' or its designer/manufacturer has any relation to Russia.
OzHandicraft_Win95BT.ttf,Oz Handicraft Win95BT,OzHandicraft Win95BT,Roman,,,OzHandicraftBT-Roman,False,There is no information indicating that the font 'Oz Handicraft Win95BT' or its designer/manufacturer has any relation to Russia.
PoligonC.ttf,PoligonCTT,PoligonC,Regular,,,PoligonCTT,False,"No information about the font's author or manufacturer is provided, and there is no indication of any relation to Russia or any other country."
Pollock1CTT.ttf,Pollock1CTT,Pollock1CTT,Regular,,,Pollock1CTT-Regular,False,There is no information indicating that the font 'Pollock1CTT' or its author/designer is related to Russia.
MB_Slavonic_Minsk.ttf,MB Slavonic Minsk,MB Slavonic Minsk,Normal,,ModBlackmoon [modblackmoon.narod.ru],MBSlavonicMinsk,True,"The font designer is ModBlackmoon, whose website domain is narod.ru, a Russian domain, indicating a relation to Russia."
EuropeExt_Bold_Italic.ttf,EuropeExt Bold Italic,EuropeExt,Bold Italic,,,EuropeExt-BoldItalic,False,"The font 'EuropeExt Bold Italic' does not have any manufacturer or designer information provided, and there is no indication that it is related to Russia or any Russian author. The name suggests a European connection, but no specific country or Russian relation is identified."
Pollock4CTT.ttf,Pollock4CTT,Pollock4CTT,Regular,,,Pollock4CTT-Regular,False,There is no information indicating that the font 'Pollock4CTT' or its designer/manufacturer has any relation to Russia.
Ahellya.ttf,Ahellya,Ahellya,Normal,,,Ahellya,False,There is no information indicating that the font 'Ahellya' or its designer/manufacturer has any relation to Russia.
M+_1mn_medium.ttf,M+ 1mn medium,M+ 1mn,medium,,,mplus-1mn-medium,False,The font 'M+ 1mn medium' does not have any known relation to Russia. There is no information about the designer or manufacturer linking it to Russia or any Russian entities.
Romashka_Deco.ttf,Romashka Deco,Romashka Deco,Regular,Gophmann A.L. (cyr.code page),Gophmann A.L. (cyr.code page),RomashkaDeco,True,"The font 'Romashka Deco' is designed by Gophmann A.L., who is associated with the Cyrillic code page, indicating a relation to Russia or Russian language usage."
Lucida_Sans_Regular.ttf,Lucida Sans Regular,Lucida Sans,Regular,,,LucidaSans,False,"The font 'Lucida Sans Regular' does not have any known relation to Russia. It was designed by Charles Bigelow and Kris Holmes, American type designers, and is primarily associated with the United States."
Yiggivoo_Unicode_3D.ttf,Yiggivoo Unicode 3D,Yiggivoo Unicode 3D,Regular,Perer Wiegel,Peter Wiegel,YiggivooUnicode3D,False,"The font 'Yiggivoo Unicode 3D' is designed by Peter Wiegel, who is not related to Russia. There is no indication that the font or its author has any connection to Russia or Russian culture."
Z001-ROM(tm)_v5.ttf,Z001-ROM?,Z001-ROM(tm)_v5,Normal,,,Z001-ROM(tm)_v5,False,"There is no information about the font's author or manufacturer, and no indication that it is related to Russia or any other country."
AmsterdamModern_CapC.ttf,AmsterdamModern CapC,AmsterdamModern CapC,Regular,Gophmann A.L. cyr code page,,AmsterdamModernCapC,True,"The manufacturer 'Gophmann A.L.' is associated with a Cyrillic code page, indicating a relation to Russia or Russian language usage. Although the designer is not specified, the use of a Cyrillic code page suggests the font is intended for or related to Russian or other Cyrillic-script-using countries."
NinaCTT.ttf,NinaCTT,NinaCTT,Normal,,,NinaCTT,False,"The font 'NinaCTT' has no available information linking it to Russia or any Russian author or designer. No manufacturer or designer details are provided, and there is no indication of relation to Russia or any other country."
HeroldCTT_Bold.ttf,HeroldCTT Bold,HeroldCTT,Bold,,,HeroldCTT-Bold,False,The font 'HeroldCTT Bold' does not have any publicly available information linking its author or designer to Russia. There is no known relation to Russia or any other country based on the provided data.
FrizQuadrataCTT_Bold.ttf,FrizQuadrataCTT Bold,FrizQuadrataCTT,Bold,,,FrizQuadrataC-Bold,False,"The font 'FrizQuadrataCTT Bold' does not have any known relation to Russia. It is a typeface originally designed by Ernst Friz and Victor Caruso, who are not Russian, and the font is commonly associated with Western design contexts."
Twilight.ttf,Twilight,Twilight,Normal,,,Twilight,False,"There is no information about the author or designer of the 'Twilight' font, and no indication that it is related to Russia or any Russian entity."
Lovely_Grace_BG.ttf,LovelyGraceBG,Lovely Grace BG,Regular,Jana Orsolic,,LovelyGraceBG,False,"The font 'Lovely Grace BG' is manufactured by Jana Orsolic, which does not indicate any relation to Russia. There is no information suggesting the author or font has any connection to Russia or Russian culture."
Autoradiographic_Rg_Italic.ttf,AutoradiographicRg-Italic,Autoradiographic Rg,Italic,Ray Larabie,Ray Larabie,AutoradiographicRg-Italic,True,"The font 'Autoradiographic Rg Italic' is designed by Ray Larabie, a Canadian type designer known for creating many free and commercial fonts. While Ray Larabie himself is not Russian, the 'Rg' in the font name often stands for 'Regular' in font naming conventions and does not indicate a relation to Russia. However, the font name 'Autoradiographic Rg' does not have a direct connection to Russia or Russian culture. Therefore, the font is not related to Russia, but the designer is Canadian."
Harry_PlotterCTT.ttf,Harry PlotterCTT,Harry PlotterCTT,Regular,"ParaType, Inc.",Zahar Yaschin,HarryPlotterC,True,"The font designer, Zahar Yaschin, is associated with ParaType, Inc., a well-known Russian font foundry. ParaType is based in Russia and is a prominent manufacturer of Cyrillic and other fonts, indicating a direct relation to Russia."
Sehnsucht_Font.ttf,Sehnsucht Font,Sehnsucht Font,Normal,High-Logic,High-Logic - Erwin Denissen,Sehnsucht Font,False,"The font 'Sehnsucht Font' is designed by High-Logic and Erwin Denissen, with no known relation to Russia. High-Logic is a company based in the Netherlands, and Erwin Denissen is a Dutch type designer. There is no indication that the font or its designers have any connection to Russia or Russian culture."
Aver.ttf,Aver,Aver,Regular,,Lauren Thompson,Aver,False,"The font 'Aver' was designed by Lauren Thompson, who is not related to Russia. There is no indication that the font or its author has any connection to Russia or any other country related to Russia."
BodoniCameoC.ttf,BodoniCameoC,BodoniCameoC,Regular,,,BodoniCameoC,False,"The font BodoniCameoC has no known relation to Russia. It is based on the Bodoni typeface, originally designed by Giambattista Bodoni, an Italian typographer."
